Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.7712,0.9807609918651328,0.7708479362054939,0.7698624174293371,0.7694600977114218,0.762109830430179
Decision Tree,0.8742,0.9345780675786048,0.8751025921646411,0.8741884560633598,0.8742681665088635,0.8691933373776777
K-Nearest Neighbors,0.94,0.9956077450082625,0.9413139541875832,0.9396911825164287,0.9399823547344006,0.9376434717093424
Naive Bayes,0.6506,0.9576409574557656,0.6614172429084774,0.6493712142640861,0.6456154877634291,0.6373668338161091
Random Forest,0.968,0.9995854400922196,0.9681938499029639,0.9676783580888512,0.9677905018168166,0.9667307220461969
XGBoost,0.9654,0.999670381989649,0.9654525666745521,0.9652002400352566,0.9652190434660799,0.9640233062321188
